run,setting_value,success,score,survival_seconds,alerts_reviewed,accuracy,false_positive,missed_threat,timeout,max_combo,failure_reason,notes
1,2000,FALSE,4200,15.6,18,83.3,2,1,0,8,혼합,
2,2000,FALSE,4300,11.5,16,81.3,1,2,0,13,혼합,
3,2000,FALSE,4000,6.8,16,81.3,1,2,0,12,혼합,
4,2000,FALSE,0,2.9,3,0,1,2,0,0,혼합,
5,2000,FALSE,1900,11.9,10,70,2,1,0,7,혼합,
6,2000,FALSE,200,2.6,5,40,2,1,0,2,혼합,
7,2000,FALSE,300,3.2,6,50,2,1,0,2,혼합,
8,2000,FALSE,2700,10.7,12,75,2,1,0,9,혼합,
9,2000,FALSE,1100,6.2,10,70,2,1,0,4,혼합,
10,2000,FALSE,2700,7.3,12,75,2,1,0,9,혼합,
