run,setting_value,success,score,survival_seconds,alerts_reviewed,accuracy,false_positive,missed_threat,timeout,max_combo,failure_reason,notes
1,3000,FALSE,7100,18.9,26,88.5,1,2,0,16,혼합,
2,3000,FALSE,6600,15.9,24,87.5,2,1,0,15,혼합,
3,3000,FALSE,4000,15.9,19,84.2,1,2,0,7,혼합,
4,3000,FALSE,1800,6.9,12,75,2,1,0,6,혼합,
5,3000,FALSE,2700,8.5,12,75,2,1,0,9,혼합,
6,3000,FALSE,1300,6.6,10,70,2,1,0,5,혼합,
7,3000,FALSE,7800,26.4,27,88.9,2,1,0,15,혼합,
8,3000,FALSE,3000,9.5,15,80,2,1,0,7,혼합,
9,3000,FALSE,9400,26.2,31,90.3,1,2,0,18,혼합,
10,3000,FALSE,3900,11.6,18,83.3,1,2,0,10,혼합,
